timestamp,Gas,Smoke,Temperature,Flame
0,281,1230,37.40,0
2000,289,1090,37.40,0
4000,291,1359,37.40,0
6000,297,1206,37.40,0
8000,291,1231,37.40,0
10000,300,1649,37.40,0
12000,331,1776,37.50,0
14000,343,1811,37.50,0
16000,340,1607,37.50,0
18000,336,1766,37.60,0
20000,336,1616,37.80,0
22000,352,2065,37.90,0
24000,347,1886,38.00,0
26000,349,1938,38.00,0
28000,345,2054,38.00,0
30000,342,1911,38.00,0
32000,305,2156,38.00,0
34000,286,1679,38.00,0
36000,287,1618,38.00,0
38000,299,1713,38.00,0
40000,294,1839,38.00,0
42000,292,1754,38.00,0
44000,277,1571,38.00,0
46000,282,1342,38.00,0
48000,283,1251,38.00,0
50000,282,1232,38.00,0
52000,277,1278,38.00,0
54000,277,1166,38.00,0
56000,273,1204,38.10,0
58000,275,1222,38.10,0
60000,273,1075,38.10,0
62000,319,1355,38.20,0
64000,325,1917,38.30,0
66000,325,1611,38.30,0
68000,317,1566,38.40,0
70000,321,1408,38.40,0
72000,334,1562,38.50,0
