timestamp,Gas,Smoke,Temperature,Flame
0,402,961,55.20,0
2000,407,1169,55.10,1
4000,400,1253,55.00,0
6000,417,1427,55.00,0
8000,431,1867,54.70,1
10000,419,1631,54.40,1
12000,427,1520,54.40,0
14000,428,1744,54.40,1
16000,415,2103,54.10,0
18000,426,1777,53.90,1
20000,400,1682,53.80,0
22000,416,1879,53.50,1
24000,428,1659,53.30,1
26000,415,1801,53.20,0
28000,427,1778,52.90,1
30000,423,1639,52.70,1
32000,421,1709,52.60,1
34000,406,1472,52.20,0
36000,402,1488,52.10,0
38000,406,1364,51.60,0
40000,399,1421,51.40,0
42000,403,1434,51.30,1
44000,402,1357,50.90,1
46000,407,1933,50.80,1
48000,421,1712,50.80,1
50000,400,1535,50.40,1
52000,406,1437,50.30,1
54000,403,1357,50.30,1
56000,399,1434,49.80,1
58000,421,1741,49.80,0
60000,418,1815,49.80,1
62000,410,1715,49.40,0
64000,413,1639,49.20,0
66000,429,1648,49.20,0
68000,418,1872,49.00,0
70000,430,1900,48.80,1
72000,410,1731,48.70,0
